기간,지역,LNG,,,
,,,태양,풍력,PPA 계
Apr-26,합계,48387.799,11312.109,3066.623,
Mar-26,합계,48387.799,11245.521,2901.323,21469.92867
Feb-26,합계,48387.799,11195.01,2807.823,21236
Jan-26,합계,48387.799,11116.053,2807.823,21035
Dec-25,합계,48387.799,11040.114,2774.623,20807.27784
Nov-25,합계,47283.199,10664.508,2575.123,20512.85342
Oct-25,합계,48387.799,10588.051,2609.123,20273
Sep-25,합계,47886.399,10518.872,2598.723,20096
Aug-25,합계,47315.399,10414.914,2499.723,19857
Jul-25,합계,47315.399,10362.543,2499.723,19686.73649
Jun-25,합계,45685.299,10197.451,2499.723,19420.97856
May-25,합계,46662.379,10079.771,2457.723,19241.84129
Apr-25,합계,46662.379,10001.242,2457.723,19065.2534
Mar-25,합계,46662.379,9851.707,2434.223,18842.25807
Feb-25,합계,46662.379,9813.608,2434.223,18649.20811
Jan-25,합계,46662.379,9752.888,2359.223,18445.8793
Dec-24,합계,48062.379,9659.858,2359.223,18245.25302
Nov-24,합계,48071.379,9582.314,2343.623,18003.13452
Oct-24,합계,47983.034,9414.259,2247.623,17810
Sep-24,합계,47816.379,9313.017,2247.623,17626
Aug-24,합계,47983.034,9100.052,2247.623,17453
Jul-24,합계,47546.379,9043.13,2230.943,17277
Jun-24,합계,47573.4,8977.718,2230.943,17072
May-24,합계,46848.2,8934.43,2226.743,16892
Apr-24,합계,45242,8834.451,2226.743,16707
Mar-24,합계,45242,8786.539,2192.343,16549
Feb-24,합계,44838.519,8728.524,2192.343,16410
Jan-24,합계,44256.504,8677.627,2192.343,16298.4538
Dec-23,합계,44097.708,8563.493,2151.993,16138.941
Nov-23,합계,44097.708,8438.506,2051.913,15944.526
Oct-23,합계,44097.708,8376.218,2051.913,15779.941
Sep-23,합계,44097.708,8272.302,1941.313,15635.91935
Aug-23,합계,44097.708,8184.137,1932.113,15486.539
Jul-23,합계,44097.636,8075.011,1932.113,15258.456
Jun-23,합계,44127.076,7660.679,1935.523,15258.456
May-23,합계,44127.076,7613.293,1935.523,15131.914
Apr-23,합계,44006.196,7517.462,1935.523,15041.874
Mar-23,합계,43623.396,7440.289,1935.523,14925.557
