기간,PPA 계,전력시장+PPA 계
2026-03-01,21469.92867,168208.2457
2026-02-01,21236,167926.131
2026-01-01,21035,167438.738
2025-12-01,20807.27784,167571.3868
2025-11-01,20512.85342,166686.6304
2025-10-01,20273,166351.12
2025-09-01,20096,165533.141
2025-08-01,19857,164377.97
2025-07-01,19686.73649,164153.1545
2025-06-01,19420.97856,163173.8226
2025-05-01,19241.84129,162707.7343
2025-04-01,19065.2534,162458.8334
2025-03-01,18842.25807,162042.6041
2025-02-01,18649.20811,161667.7591
2025-01-01,18445.8793,161316.7403
2024-12-01,18245.25302,162404.578
2024-11-01,18003.13452,162061.6455
2024-10-01,17810,161429.121
2024-09-01,17626,160957.424
2024-08-01,17453,160719.035
2024-07-01,17277,160024.866
2024-06-01,17072,159766.315
2024-05-01,16892,157367.35
2024-04-01,16707,155520.551
2024-03-01,16549,155280.239
2024-02-01,16410,154696.083
2024-01-01,16298.4538,153955.3248
2023-12-01,16138.941,153640.108
2023-11-01,15944.526,151809.685
2023-10-01,15779.941,151577.247
2023-09-01,15635.91935,151179.2693
2023-08-01,15486.539,150864.144
2023-07-01,15258.456,149470.663
2023-06-01,15258.456,149093.246
2023-05-01,15131.914,148890.199
2023-04-01,15041.874,148585.338
2023-03-01,14925.557,148051.268
2023-02-01,14799.864,147161.13
2023-01-01,14678.139,145702.152
2022-12-01,14622.255,145283.704
2022-11-01,14409.537,144778.572
2022-10-01,14226.916,144483.4
2022-09-01,14126.828,143259.869
2022-08-01,14049.273,142770.846
2022-07-01,13914.165,142497.422
2022-06-01,13786,141909.288
2022-05-01,13615,140305.835
2022-04-01,13467,139034.006
2022-03-01,13326,138816.992
2022-02-01,13219,138641.699
2022-01-01,13147,139600.283
2021-12-01,13046,139924.745
2021-11-01,12504,139572.229
2021-10-01,12285,139040.061
2021-09-01,12127,138399.555
2021-08-01,11993,138153.327
2021-07-01,11881,137796.63
2021-06-01,11660,137445.718
2021-05-01,11460,137146.802
2021-04-01,11293,136961.65
2021-03-01,11144,135981.487
2021-02-01,10953,135683.783
2021-01-01,10816,135520.647
2020-12-01,10635,135201.36
2020-11-01,9985,134366.101
2020-10-01,9671,132842.602
2020-09-01,9416,132439.302
2020-08-01,9167,131906.79
2020-07-01,9039,131753.181
2020-06-01,8722,130903.324
2020-05-01,8438,130228.19
2020-04-01,8217,129791.467
2020-03-01,8014,129504.782
2020-02-01,7843,129260.161
2020-01-01,7672,128951.668
