year,month,cap_btmppa_mw
2019,1,50
2019,2,54
2019,3,59
2019,4,61
2019,5,63
2019,6,63
2019,7,66
2019,8,67
2019,9,69
2019,10,71
2019,11,73
2019,12,75
2020,1,76
2020,2,77
2020,3,78
2020,4,83
2020,5,85
2020,6,96
2020,7,115
2020,8,120
2020,9,126
2020,10,140
2020,11,155
2020,12,173
2021,1,186
2021,2,197
2021,3,204
2021,4,211
2021,5,224
2021,6,236
2021,7,244
2021,8,250
2021,9,253
2021,10,259
2021,11,263
2021,12,269
2022,1,277
2022,2,277
2022,3,277
2022,4,277
2022,5,277
2022,6,277
2022,7,277
2022,8,277
2022,9,277
2022,10,277
2022,11,277
2022,12,277
2023,1,219
2023,2,219
2023,3,219
2023,4,194
2023,5,194
2023,6,194
2023,7,195
2023,8,195
2023,9,195
2023,10,189
2023,11,189
2023,12,189
2024,1,190
2024,2,190
2024,3,190
2024,4,191
2024,5,191
2024,6,191
2024,7,198
2024,8,198
2024,9,198
2024,10,191
2024,11,191
2024,12,191
2025,1,195
2025,2,195
2025,3,195
2025,4,209
2025,5,209
2025,6,209
2025,7,222
2025,8,222
2025,9,222
2025,10,233
2025,11,233
2025,12,233
2026,1,233
2026,2,233
2026,3,233
2026,4,233
2026,5,233
2026,6,233
