timestamp,solar_rad_west,solar_rad_south,total_cloud_west,total_cloud_south,midlow_cloud_west,midlow_cloud_south,rainfall_west,rainfall_south,wind_spd_west,wind_spd_east,wind_spd_south,wd_sin_west,wd_cos_west,wd_sin_east,wd_cos_east,wd_sin_south,wd_cos_south,real_solar_utilization_jeju,real_wind_utilization_jeju,real_solar_gen_jeju,real_wind_gen_jeju,real_solar_capacity_jeju,real_wind_capacity_jeju,day_type
2020-01-01 00:00:00,0.0,0.0,0.9,0.8,0.9,0.8,0.0,0.0,8.7,2.2,2.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.5065003928489873,0.0,130.864,254.197,258.369,holiday
2020-01-01 01:00:00,0.0,0.0,0.9,0.9,0.9,0.2,0.0,0.0,7.8,2.4,0.8,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.5210377405958144,0.0,134.62,254.197,258.369,holiday
2020-01-01 02:00:00,0.0,0.0,0.9,0.9,0.9,0.8,0.0,0.0,7.0,1.7,0.7,0.0,1.0,-0.9397,0.342,-0.9397,0.342,0.0,0.3874071579794789,0.0,100.094,254.197,258.369,holiday
2020-01-01 03:00:00,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,6.7,2.2,0.9,0.342,0.9397,-0.6428,0.766,-0.342,0.9397,0.0,0.4200774860761159,0.0,108.535,254.197,258.369,holiday
2020-01-01 04:00:00,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,7.6,1.7,1.7,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.39720322484508586,0.0,102.625,254.197,258.369,holiday
2020-01-01 05:00:00,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,8.1,2.2,0.5,0.0,1.0,1.0,0.0,-0.342,0.9397,0.0,0.45415665192031546,0.0,117.34,254.197,258.369,holiday
2020-01-01 06:00:00,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,5.7,2.0,0.8,0.342,0.9397,0.9397,-0.342,0.342,0.9397,0.0,0.4039803536802015,0.0,104.376,254.197,258.369,holiday
2020-01-01 07:00:00,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,4.9,2.3,1.0,0.766,0.6428,-0.766,-0.6428,-1.0,0.0,0.0,0.38624293162105355,0.0,99.7932,254.197,258.369,holiday
2020-01-01 08:00:00,0.0,0.0,0.9,0.7,0.9,0.7,0.0,0.0,5.1,1.8,0.6,0.9397,0.342,0.9397,0.342,-0.9397,0.342,0.0,0.3470784033688252,0.0,89.6743,254.197,258.369,holiday
2020-01-01 09:00:00,0.4,0.0,0.9,0.6,0.9,0.6,0.0,0.0,5.8,1.8,0.6,0.766,0.6428,-1.0,0.0,-0.342,0.9397,0.018163707675542984,0.3244971339440877,4.61716,83.84,254.197,258.369,holiday
2020-01-01 10:00:00,1.06,0.0,0.9,0.7,0.2,0.7,0.0,0.0,5.8,3.1,1.2,0.342,0.9397,0.9397,-0.342,-1.0,0.0,0.12178231843806182,0.36704442096381523,30.9567,94.8329,254.197,258.369,holiday
2020-01-01 11:00:00,1.48,0.0,0.7,0.4,0.0,0.4,0.0,0.0,7.9,3.0,1.2,0.0,1.0,0.766,0.6428,-1.0,0.0,0.2630310349846772,0.405369839260902,66.8617,104.735,254.197,258.369,holiday
2020-01-01 12:00:00,1.91,0.65,0.7,0.5,0.2,0.5,0.0,0.0,7.2,3.2,2.5,0.0,1.0,0.766,0.6428,-0.766,-0.6428,0.40666097554259095,0.36008344654350943,103.372,93.0344,254.197,258.369,holiday
2020-01-01 13:00:00,1.63,0.72,0.8,0.2,0.4,0.2,0.0,0.0,6.2,4.1,2.7,0.0,1.0,-0.342,0.9397,-0.766,-0.6428,0.48855021892469225,0.23109003015067595,124.188,59.7065,254.197,258.369,holiday
2020-01-01 14:00:00,1.13,0.95,0.9,0.3,0.8,0.3,0.0,0.0,5.4,3.8,2.6,-0.342,0.9397,-0.9397,-0.342,-0.766,-0.6428,0.49153609208605925,0.3211329532567761,124.947,82.9708,254.197,258.369,holiday
2020-01-01 15:00:00,0.59,0.5,0.9,0.2,0.9,0.2,0.0,0.0,7.2,3.9,2.7,-0.342,0.9397,-1.0,0.0,-0.766,-0.6428,0.37438718788970754,0.32540165422322337,95.1681,84.0737,254.197,258.369,holiday
2020-01-01 16:00:00,0.34,0.2,1.0,0.1,0.9,0.1,0.0,0.0,7.2,4.3,1.2,0.0,1.0,-1.0,0.0,0.0,-1.0,0.24149812940357282,0.4058420321323378,61.3881,104.857,254.197,258.369,holiday
2020-01-01 17:00:00,0.16,0.13,0.7,0.1,0.7,0.1,0.0,0.0,8.0,3.9,1.3,-0.342,0.9397,0.0,-1.0,0.9397,0.342,0.11388922764627434,0.425546408431352,28.9503,109.948,254.197,258.369,holiday
2020-01-01 18:00:00,0.01,0.0,0.9,0.6,0.8,0.6,0.0,0.0,8.0,2.8,1.2,-0.342,0.9397,0.342,0.9397,0.0,1.0,0.03455992792991263,0.3160321091152576,8.78503,81.6529,254.197,258.369,holiday
2020-01-01 19:00:00,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,5.7,1.5,1.1,0.0,1.0,0.342,0.9397,0.0,1.0,0.01668123541977285,0.38780581261683866,4.24032,100.197,254.197,258.369,holiday
2020-01-01 20:00:00,0.0,0.0,0.9,0.9,0.8,0.9,0.0,0.0,4.6,1.5,0.4,0.342,0.9397,-0.6428,0.766,0.0,1.0,0.010427935813561922,0.3074904497056535,2.65075,79.446,254.197,258.369,holiday
